Season,Band,Parameter,Coefficient,Abs_Coefficient,VIP,VIP_Class,Influence_Class,R2_Train,R2_CV,RMSE_CV,Components
Jun15_Dec15,B11,Soil_Moisture,-0.263073026,0.263073026,0.961947859,Moderate,Moderate,0.512426416,0.494355339,0.711086957,1
Jun15_Dec15,B11,CAMS_AOD,0.269665579,0.269665579,0.986054062,Moderate,Moderate,0.512426416,0.494355339,0.711086957,1
Jun15_Dec15,B11,TCWV,0.310877545,0.310877545,1.136748958,High,Moderate,0.512426416,0.494355339,0.711086957,1
Jun15_Dec15,B11,Residual_NDVI,-0.246155182,0.246155182,0.900086389,Moderate,Weak,0.512426416,0.494355339,0.711086957,1
Jun15_Dec15,B12,Soil_Moisture,-0.344855102,0.344855102,0.938607316,Moderate,Moderate,0.52125479,0.476678582,0.723409578,4
Jun15_Dec15,B12,CAMS_AOD,0.265046083,0.265046083,0.910665895,Moderate,Moderate,0.52125479,0.476678582,0.723409578,4
Jun15_Dec15,B12,TCWV,0.144666861,0.144666861,1.122101722,High,Weak,0.52125479,0.476678582,0.723409578,4
Jun15_Dec15,B12,Residual_NDVI,-0.394671734,0.394671734,1.015180605,High,Moderate,0.52125479,0.476678582,0.723409578,4
Apr15_Jun15,B2,Soil_Moisture,-0.170308337,0.170308337,0.549759658,Low,Weak,0.529298805,0.406722239,0.77024526,1
Apr15_Jun15,B2,CAMS_AOD,-0.276883298,0.276883298,0.893786351,Moderate,Moderate,0.529298805,0.406722239,0.77024526,1
Apr15_Jun15,B2,TCWV,0.077659338,0.077659338,0.250686325,Low,Negligible,0.529298805,0.406722239,0.77024526,1
Apr15_Jun15,B2,Residual_NDVI,-0.521700505,0.521700505,1.684062541,High,Strong,0.529298805,0.406722239,0.77024526,1
Apr15_Jun15,B3,Soil_Moisture,-0.240058348,0.240058348,0.784621308,Low,Weak,0.521349747,0.357271058,0.801703775,1
Apr15_Jun15,B3,CAMS_AOD,-0.188903856,0.188903856,0.617424855,Low,Weak,0.521349747,0.357271058,0.801703775,1
Apr15_Jun15,B3,TCWV,0.054342922,0.054342922,0.177617713,Low,Negligible,0.521349747,0.357271058,0.801703775,1
Apr15_Jun15,B3,Residual_NDVI,-0.527414988,0.527414988,1.72383523,High,Strong,0.521349747,0.357271058,0.801703775,1
Apr15_Jun15,B4,Soil_Moisture,-0.297338496,0.297338496,0.895968283,Moderate,Moderate,0.610856148,0.375885196,0.79000937,1
Apr15_Jun15,B4,CAMS_AOD,-0.171617339,0.171617339,0.517133485,Low,Weak,0.610856148,0.375885196,0.79000937,1
Apr15_Jun15,B4,TCWV,-0.028583611,0.028583611,0.08613082,Low,Negligible,0.610856148,0.375885196,0.79000937,1
Apr15_Jun15,B4,Residual_NDVI,-0.567319855,0.567319855,1.70950147,High,Strong,0.610856148,0.375885196,0.79000937,1
Apr15_Jun15,B5,Soil_Moisture,-0.27811538,0.27811538,1.005635231,High,Moderate,0.429926991,0.155328063,0.919060355,1
Apr15_Jun15,B5,CAMS_AOD,-0.075711302,0.075711302,0.273763905,Low,Negligible,0.429926991,0.155328063,0.919060355,1
Apr15_Jun15,B5,TCWV,0.085994072,0.085994072,0.310945295,Low,Negligible,0.429926991,0.155328063,0.919060355,1
